review_content,date,overall_rating,food,service,ambiance,restaurant,timestamp
"Hele leuke plek om te eten wel erg druk op vrijdagavond, dus op tijd reserveren, maar relaxte sfeer, prettige bediening en goed eten","Dined on December 7, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Always consistent with fantastic service. Our waiter in particular was very patient and provided great client service and without rushing us.,"Dined on December 6, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
Iconic spot near my old apartment continues to be a nostalgic place for me when I return.  It’s easy and familiar and does what it needs to do well.,"Dined on December 5, 2024",4,4,5,5,Cafe Luxembourg,2024-12-11
"I was celebrating my retirement and our server, Alexandria, brought out a lovely sweet treat with a candle and “Congratulations “ in chocolate! So thoughtful!
The food was excellent as was the service.
Will definitely return!","Dined on December 3, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
All outstanding! Would come back many times. Recommended!,"Dined on December 2, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Cozy neighborhood restaurant, but must have a reservation. Tables very close together, so depending on where you sit, you may be listening to the conversation of the adjacent table.

The menu is solid and traditional. The chef does not “chef” your food to death or plate your food with a tweezers.

Prices are just a bit on the high end  but consistency and good service are worth it.","Dined on December 1, 2024",4,4,5,4,Cafe Luxembourg,2024-12-11
"Onion Soup and Tartar were great.
The main course is average within the price.
Service is great and people are nice.
The place a bit too tight. Tables are very close.
Will be a great place to eat-in after or before the show.","Dined on December 1, 2024",4,4,5,4,Cafe Luxembourg,2024-12-11
Great meal! Great server! Delicious dessert! See you again for sure!,"Dined on December 1, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
Always great. Delicious omelettes and just the most amazing service you can imagine!!!,"Dined on November 30, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Always a fantastic experience. Café Lux is the neighborhood go to. It’s like a warm comforting blanket with wonderful food.  Went on Thanksgiving night and enjoyed the turkey platter but so many other options.  Can’t miss and enjoy sitting at the bar if you can get a seat.,"Dined on November 29, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Enjoyed our Thanksgiving meal. The staff and service was superb!,"Dined on November 29, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Cute spot we chose for our thanksgiving lunch. We were not disappointed. My turkey meal was delicious! I would recommend them for thanksgiving as well as any day of the week and the service was wonderful. My husband had a regularly-served dish and enjoyed it very much. Kid friendly. Thank you to all who took care of us today.,"Dined on November 28, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Excellent experience great coffee Montera prices great service,"Dined on November 28, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Beginning the Holiday Season in a French Bistro!
Sensational.","Dined on November 28, 2024",4,4,3,3,Cafe Luxembourg,2024-12-11
Very nice place for a celebration. It was my birthday,"Dined on November 27, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
Food took longer than expected to arrive. The rest of the service was fine.,"Dined on November 26, 2024",4,5,2,5,Cafe Luxembourg,2024-12-11
"Still GREAT after all these years, how do they do it?!?! Welcoming, cozy and comfy with soul comforting healthy and delicious food. Great boisterous energy yet we can still hear our guests clearly. A beloved gem in Manhattan…still.","Dined on November 26, 2024",5,4,5,4,Cafe Luxembourg,2024-12-11
"Food is always reliably excellent, no matter time of day.  inventive yet steady.","Dined on November 24, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Love the cheeseburger, even if the brioche roll disintegrates pretty fast, and tomato slice is tasteless. Great sauce, though. Fries could have been fresher, as in, just out of the fryer. Cocktails teeny but tasty. Love the hot fudge sundae!","Dined on November 24, 2024",5,4,5,5,Cafe Luxembourg,2024-12-11
Another great meal. Perfect steak temp and excellent donut dessert.,"Dined on November 23, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Great as always, one of our favorite places to celebrate or to have a relaxed wonderful dinner. Love this place so much!","Dined on November 22, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Dining at Cafe Luxembourg is always a great experience, never disappoints! We have been dining here for 20+ years - always consistently good!!","Dined on November 21, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
Café Lux never disappoints. I have been returning consistently for over 20 years.,"Dined on November 21, 2024",5,4,5,5,Cafe Luxembourg,2024-12-11
"Always wonderful to have a meal here. Top to bottom, delicious and good in every way.","Dined on November 20, 2024",4,4,4,4,Cafe Luxembourg,2024-12-11
Quite lively with energy even for a Tuesday evening.,"Dined on November 20, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Intimate, busy but not loud- great wait staff, food and wine!  - feels like the favorite neighborhood joint that you want to keep secret!   PS get the crispy artichokes!!!","Dined on November 19, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Love this place. My go-to for friends family and business,"Dined on November 15, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Have been going there for decades. Food, service, ambiance have been consistently fabulous. Hope to many more decades.","Dined on November 15, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"This restaurant is perfection. From the minute you walk in the door the experience is next level. The host staff, service staff, food, ambiance - it’s all excellent. It’s our favorite!","Dined on November 15, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"I am a regular at Cafe Luxembourg and I love it. I go at least once a week and usually, my experience is amazing. However, yesterday I was very disappointed. The manager, Zach, was extremely rude to me and my party. We had a reservation at 8:30 for 2 and as we arrived early with one extra person, we asked if there was a table for 3. Zach said a table was available at 9:30pm, despite there being empty tables, so we asked if we could sit outside and then be moved inside once our table was available. He said this was not possible because it would be too much of a hassle to move us inside?? Then, I asked him if there was anything we could do, as we saw available tables in the restaurant, to what he nonchalantly replied: no. So I went on the OpenTable app and found more tables available for a party of 3 at 8:30, and I asked him if I could reserve a table, to what he said: I suppose you could. Then, my friend went to the restroom and on her way she took a selfie, as the restaurant is very nice obviously. Zach glided across the restaurant to berate her and tell her it was rude to snap pictures; to delete and never do that again. Overall, he was rude and we felt stared down at. Cafe Luxembourg is one of my favorite restaurants, but experiences like these definitely make you think twice about dining there again.","Dined on November 14, 2024",1,5,1,2,Cafe Luxembourg,2024-12-11
"My reviews are becoming repetitious but happily they remain consistently positive. As always the Cafe is a wonderful place to dine. The food has never disappointed, the service continues to be attentive and efficient and the staff personable without being intrusive. Moreover, given today's economic climate the value, portions and quality of what is served is more than fair. I always look forward to returning.","Dined on November 14, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Great food and gracious service, as always. I’ll be back!","Dined on November 12, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Good food, great service, cozy setting. We appreciate being seated at our favorite table.","Dined on November 12, 2024",4,4,4,4,Cafe Luxembourg,2024-12-11
Served the purpose but could have been better.  I have faith!,"Dined on November 11, 2024",4,3,5,5,Cafe Luxembourg,2024-12-11
The tuna burger and sautéed mushrooms are both excellent. The service is perfect in every way. Very highly recommended.,"Dined on November 9, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"As visitors from the UK we found our time at the restaurant a good experience. A warm welcome, helpful staff and good food at a reasonable price.","Dined on November 8, 2024",4,3,5,4,Cafe Luxembourg,2024-12-11
"Outstanding, as always!  Great food and service.  Thanks!","Dined on November 8, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Excellent as always!!!,"Dined on November 8, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Best server ever.  Helpful but not in our faces.  Food did not disappoint - always predictable and solid.,"Dined on November 7, 2024",5,4,5,4,Cafe Luxembourg,2024-12-11
"Classic, great cocktails, food good but not outstanding","Dined on November 7, 2024",4,3,4,4,Cafe Luxembourg,2024-12-11
"Always love the energy 
But chicken was dried out and too much oil on
mushrooms and kale too bitter and tough","Dined on November 6, 2024",3,2,5,5,Cafe Luxembourg,2024-12-11
"We had a wonderful lunch at Cafe Luxembourg. So many great options for lunch. I enjoyed the French Onion Soup, classic and so flavorful. From there I moved on to the mussels, delicious and great broth. I finished the meal with a cappuccino. The restaurant was lively in the best sense with so many locals enjoying time together. The service was attentive but efficient and the atmosphere was welcoming and charming.","Dined on November 4, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Great restaurant. The wine list was really nice and the fried artichoke hearts were heavenly. I ordered the moules frites, my husband got the chicken pot pie and my brother got the tuna burger. Everything was tasty. The desserts were also delicious.","Dined on November 4, 2024",5,4,5,4,Cafe Luxembourg,2024-12-11
Highly recommend! We had a reservation at 3:15 on Marathon Sunday.  The place was packed but they got us right in.  The service was very efficient and professional.  The food was served quickly and was absolutely delicious.  Great experience overall!,"Dined on November 4, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"The host was friendly, fast and accommodating. Servers were all impeccable. This place has a phenomenal staff. Food is great, atmosphere is soft, slightly nostalgic and perfectly calibrated.","Dined on November 3, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
"Biggest rip off ever! I ordered the steak frites and it comes super thin, thinnest steak I’ve ever seen in my life at a proper restaurant. I ate it, paid, waiting to leave and then saw the table next to me order the same dish but it was regular sized thick steaks. That got me really upset. I don’t even know how to complain to management about this issue other than leave my review and let others be warned. Inconsistent and frustrating. Do not eat here.","Dined on November 2, 2024",1,1,5,4,Cafe Luxembourg,2024-12-11
Food amazing as usual. The staff was lovely. An unforgettable night,"Dined on November 2, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Food and service were amazing!!! Pre-theatre dinner.,"Dined on November 2, 2024",5,5,5,5,Cafe Luxembourg,2024-12-11
Great food and great service.  Fries are addicting.  Always excited to see what the specials are.  Our go-to.,"Dined on November 2, 2024",5,5,5,4,Cafe Luxembourg,2024-12-11
